name,bpp,profile,real/fake,time(sec)
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100911.png,12,simple,real,17.436
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100921.png,12,simple,real,16.998
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100001.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100011.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100021.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100031.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100041.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100051.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100061.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100071.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100081.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100091.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100101.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100111.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100121.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100131.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100141.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100151.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100161.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100171.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100181.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100191.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100201.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100211.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100221.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100231.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100241.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100251.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100261.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100271.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100281.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100291.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100301.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100311.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100321.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100331.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100341.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100351.png,12,simple,real,
../CNNDetection/dataset/test/compressed_images/bpp12/crn/0_real/00100361.png,12,simple,real,
